경찰청이름,주소
서울특별시경찰청,서울시 종로구 사직로8길 31
서울강남경찰서,서울시 강남구 테헤란로 114길 11
서울강동경찰서,서울시 강동구 성내로 57
서울강북경찰서,서울시 강북구 오패산로 406
서울강서경찰서,서울시 강서구 화곡로 308
서울관악경찰서,서울시 관악구 관악로5길 33
서울광진경찰서,서울시 광진구 자양로 167
서울구로경찰서,서울시 구로구 가마산로 235
서울금천경찰서,서울시 금천구 시흥대로73길 50
서울남대문경찰서,서울시 중구 한강대로 410
서울노원경찰서,서울시 노원구 노원로 283
서울도봉경찰서,서울시 도봉구 노해로 403
서울동대문경찰서,서울시 동대문구 약령시로21길 29
서울동작경찰서,서울시 동작구 노량진로 148
서울마포경찰서,서울시 마포구 마포대로 183
서울방배경찰서,서울시 서초구 동작대로 204
서울서대문경찰서,서울 서대문구 통일로 113
서울서부경찰서,서울시 은평구 진흥로 58
서울서초경찰서,서울시 서초구 반포대로 179
서울성동경찰서,서울시 성동구 왕십리광장로 9
서울성북경찰서,서울 성북구 보문로 170
서울송파경찰서,서울시 송파구 중대로 221
서울수서경찰서,서울시 강남구 개포로 617
서울양천경찰서,서울시 양천구 목동동로 99
서울영등포경찰서,서울시 영등포구 국회대로 608
서울용산경찰서,서울시 용산구 원효로89길 24
서울은평경찰서,서울시 은평구 연서로 365
서울종로경찰서,서울시 종로구 율곡로 46
서울종암경찰서,서울시 성북구 종암로 135
서울중랑경찰서,서울시 중랑구 신내역로3길 40-10
서울중부경찰서,서울시 중구 수표로 27
서울혜화경찰서,서울시 종로구 창경궁로 112-16
부산광역시경찰청,부산 연제구 중앙대로 999
부산강서경찰서,부산 강서구 명지국제1로 305
부산금정경찰서,부산 금정구 중앙대로 1819
부산남부경찰서,부산 남구 황령대로319번가길 81
부산동래경찰서,부산 동래구 명륜로 70
부산동부경찰서,부산 동구 중앙대로 387
부산진경찰서,부산 부산진구 부전로111번길 6
부산북부경찰서,부산 북구 화명신도시로 63
부산사상경찰서,부산 사상구 학감대로 264
부산사하경찰서,부산 사하구 을숙도대로 665
부산서부경찰서,부산 서구 대영로 16
부산영도경찰서,부산 영도구 태종로 46
부산연제경찰서,부산 연제구 토곡로 26
부산중부경찰서,부산 중구 중앙대로 105
부산해운대경찰서,부산 해운대구 해운대로 129
부산기장경찰서,부산 기장군 일광면 기장대로 692
대구광역시경찰청,대구 수성구 무학로 227
대구남부경찰서,대구 남구 대명로 249
대구달서경찰서,대구 달서구 학산로 55
대구달성경찰서,대구 달성군 현풍읍 테크노대로 36
대구동부경찰서,대구 동구 반야월북로 209
대구북부경찰서,대구 북구 원대로 100
대구서부경찰서,대구 서구 국채보상로 249
대구수성경찰서,대구 수성구 달구벌대로 2460
대구중부경찰서,대구 중구 경상감영길 55
대구성서경찰서,대구 달서구 달구벌대로259길 15
대구강북경찰서,대구 북구 동암로 130
인천광역시경찰청,인천 남동구 예술로152번길 9
인천강화경찰서,인천 강화군 강화읍 동문안길 17
인천계양경찰서,인천 계양구 계산새로 68
인천남동경찰서,인천 남동구 남동대로 668
인천미추홀경찰서,인천 미추홀구 매소홀로290번길 32
인천부평경찰서,인천 부평구 길주로 511
인천서부경찰서,인천 서구 탁옥로 77
인천연수경찰서,인천 연수구 원인재로 138
인천중부경찰서,인천 중구 제물량로 237
인천삼산경찰서,인천 부평구 굴포로 104
인천논현경찰서,인천 남동구 논현고잔로 239
인천국제공항경찰단,인천 중구 공항로 272
광주광역시경찰청,광주 광산구 용아로 112
광주광산경찰서,광주 광산구 어등대로 551
광주남부경찰서,광주 남구 용대로74번안길 9-5
광주동부경찰서,광주 동구 예술길 33
광주북부경찰서,광주 북구 서하로 172
광주서부경찰서,광주 서구 상무공원로 71
대전광역시경찰청,대전시 서구 둔산중로 77
대전유성경찰서,대전광역시 유성구 북유성대로 112
대전동부경찰서,대전시 동구 충무로 222
대전둔산경찰서,대전시 서구 한밭대로 733
대전대덕경찰서,대전시 대덕구 계족로 670
대전서부경찰서,대전시 서구 복수서로 47
대전중부경찰서,대전시 중구 중앙로 112
울산광역시경찰청,울산시 중구 성안로 112
울산남부경찰서,울산시 남구 삼산로 35번길 25
울산동부경찰서,울산시 동구 진성4길 11
울산울주경찰서,울산시 울주군 범서읍 점촌6길 6
울산중부경찰서,울산시 중구 번영로 620
울산북부경찰서,울산시 북구 화동로 67
경기도남부경찰청,경기도 수원시 장안구 창룡대로 223
과천경찰서,경기도 과천시 통영로 20
광명경찰서,경기도 광명시 디지털로 5
광주경찰서,경기도 광주시 포돌이로 135
군포경찰서,경기도 군포시 산본로324번길 16
김포경찰서,경기도 김포시 태장로795번길 65
부천소사경찰서,경기도 부천시 부광로 214
부천원미경찰서,경기도 부천시 원미구 조마루로311번길 84
분당경찰서,경기도 성남시 분당구 정자일로 165
성남수정경찰서,경기도 성남시 수정구 성남대로 1259
성남중원경찰서,경기도 성남시 중원구 금빛로2번길 10
수원남부경찰서,경기도 수원시 영통구 매봉로 52
수원중부경찰서,경기도 수원시 장안구 정자천로 199
수원서부경찰서,경기도 수원시 권선구 서부로 1673
시흥경찰서,경기도 시흥시 황고개로 513
안산단원경찰서,경기도 안산시 단원구 화랑로 373
안산상록경찰서,경기도 안산시 상록구 차돌배기로 10
안성경찰서,경기도 안성시 알미산로 140
안양동안경찰서,안양시 동안구 동안로159번길 43
양평경찰서,경기도 양평군 옥천면 고읍로 88
여주경찰서,경기도 여주시 세종로 50
용인동부경찰서,경기도 용인시 처인구 금학로 143
이천경찰서,경기도 이천시 부악로 32
평택경찰서,경기도 평택시 중앙로 67
오산경찰서,경기도 오산시 동부대로 596
화성서부경찰서,경기도 화성시 남양읍 남양로 570
화성동탄경찰서,경기도 화성시 동탄대로 13길 70
하남경찰서,경기도 하남시 검단로 27
의왕경찰서,경기도 의왕시 오봉로 10
안양만안경찰서,경기도 안양시 만안구 냉천로 63
부천오정경찰서,경기도 부천시 오정구 소사로 631
